crypto,model,AIC,BIC,log_likelihood
btc,"GARCH(1,1)",11904.018946399101,11933.005402766838,-5947.0094731995505
btc,"TARCH(1,1)",11905.614525476474,11940.398273117758,-5946.807262738237
btc,TARCH-X,11905.953145708678,11969.7233497177,-5941.976572854339
eth,"GARCH(1,1)",13344.705183901719,13373.691640269455,-6667.352591950859
eth,"TARCH(1,1)",13346.557471134849,13381.341218776133,-6667.2787355674245
eth,TARCH-X,13350.675231209132,13414.445435218155,-6664.337615604566
xrp,"GARCH(1,1)",13324.298127827162,13353.284584194898,-6657.149063913581
xrp,"TARCH(1,1)",13325.111533654977,13359.895281296262,-6656.555766827489
xrp,TARCH-X,13330.680873608562,13394.451077617585,-6654.340436804281
bnb,"GARCH(1,1)",11400.368080626908,11428.828647324885,-5695.184040313454
bnb,"TARCH(1,1)",11400.936061287837,11435.08874132541,-5694.468030643919
bnb,TARCH-X,11404.123830553042,11466.737077288593,-5691.061915276521
ltc,"GARCH(1,1)",13779.841458480743,13808.82791484848,-6884.920729240372
ltc,"TARCH(1,1)",13773.559466412571,13808.343214053855,-6880.7797332062855
ltc,TARCH-X,13774.353058479861,13838.123262488883,-6876.1765292399305
ada,"GARCH(1,1)",14091.19697947383,14120.183435841567,-7040.598489736915
ada,"TARCH(1,1)",14093.131066124599,14127.914813765883,-7040.565533062299
ada,TARCH-X,14100.452123342697,14164.22232735172,-7039.226061671348
