model,parameter,value,std_error,p_value
"GARCH(1,1)",mu,-0.042263777259883416,0.05304308100368757,0.4255775950052654
"GARCH(1,1)",omega,1.9147209270376306,0.5518089535635591,0.000520655546423639
"GARCH(1,1)",alpha[1],0.23842065685447844,0.05410733900177493,1.0508416955608048e-05
"GARCH(1,1)",beta[1],0.7615793431455216,0.04536166473068074,2.934960466003284e-63
"GARCH(1,1)",nu,2.777991187755901,0.1492958654188646,2.804579456690416e-77
"TARCH(1,1)",mu,-0.030567888230002494,0.05517503497132087,0.579567448568383
"TARCH(1,1)",omega,1.8757875064306218,0.5739313833524796,0.0010819057526850156
"TARCH(1,1)",alpha[1],0.2622702051068945,0.06364039724560734,3.770223295305894e-05
"TARCH(1,1)",gamma[1],-0.05562638963088418,0.04816959085458943,0.24817109468389198
"TARCH(1,1)",beta[1],0.7655429897085475,0.04825949640250128,1.1420298957469303e-56
"TARCH(1,1)",nu,2.7771712920033758,0.15186936837510243,1.0585215241342028e-74
TARCH-X,Const,-0.05744854878350591,0.05971587573720006,0.3360338207744298
TARCH-X,D_infrastructure,-0.1275927667310602,0.23176971752676095,0.5819660119007901
TARCH-X,D_regulatory,0.21498376432134766,0.2582633940287004,0.4051715894795189
TARCH-X,S_gdelt_normalized,0.3173050971295823,0.1794005251119252,0.07694452155227498
TARCH-X,S_reg_decomposed,-0.5373321449234744,0.41511497046214285,0.19552119699456916
TARCH-X,S_infra_decomposed,-0.4980544243856684,0.361931225805161,0.16878993611573845
TARCH-X,omega,1.8703744763277905,0.5799844235934816,0.0012602980134034155
TARCH-X,alpha[1],0.26213881984372017,0.06440021240167614,4.691936122796547e-05
TARCH-X,gamma[1],-0.05907113120728128,0.04786342151761043,0.21714320443322588
TARCH-X,beta[1],0.7673967457599205,0.048468209274412324,1.8424900301099103e-56
TARCH-X,nu,2.7715142364650562,0.15256211014139634,9.51334121895585e-74
